===== RECEIVED DATA FOR SYMBOL: EURUSD =====
         open      high       low     close    volume  day_of_week      hour    minute       day  timeframe
59   0.159900  0.254423  0.183233  0.259061  0.161938     0.833333  0.521739  0.000000  0.645161       0.75
60   0.090833  0.181529  0.000000  0.157331  0.175277     0.833333  0.347826  0.000000  0.645161       0.75
61   0.079531  0.069002  0.068273  0.089374  0.076690     0.833333  0.173913  0.000000  0.645161       0.75
62   0.085391  0.077849  0.078815  0.078254  0.074548     0.833333  0.000000  0.000000  0.645161       0.75
63   0.070741  0.106511  0.061245  0.075371  0.118885     0.666667  0.869565  0.000000  0.612903       0.75
64   0.227710  0.212314  0.058233  0.070016  0.239234     0.666667  0.695652  0.000000  0.612903       0.75
65   0.284219  0.243100  0.214357  0.224876  0.208732     0.666667  0.521739  0.000000  0.612903       0.75
66   0.156551  0.266100  0.172189  0.279654  0.218306     0.666667  0.347826  0.000000  0.612903       0.75
67   0.139807  0.154636  0.147088  0.154036  0.101201     0.666667  0.173913  0.000000  0.612903       0.75
68   0.028464  0.116065  0.004518  0.137562  0.113583     0.666667  0.000000  0.000000  0.612903       0.75
69   0.547091  0.514154  0.003012  0.020181  0.297865     0.500000  0.869565  0.000000  0.580645       0.75
70   0.028882  0.015216  0.038655  0.028418  0.000157     0.666667  0.000000  0.000000  0.064516       0.50
71   0.058602  0.048832  0.048193  0.033361  0.011789     0.333333  1.000000  0.000000  1.000000       0.50
72   0.043114  0.056971  0.057731  0.057661  0.014416     0.333333  0.956522  0.000000  1.000000       0.50
73   0.035161  0.061925  0.042671  0.042010  0.022259     0.333333  0.913043  0.000000  1.000000       0.50
74   0.016743  0.034324  0.012048  0.034596  0.032584     0.333333  0.869565  0.000000  1.000000       0.50
75   0.024278  0.027955  0.005522  0.019357  0.039677     0.333333  0.826087  0.000000  1.000000       0.50
76   0.042696  0.050248  0.019076  0.023888  0.047411     0.333333  0.782609  0.000000  1.000000       0.50
77   0.131017  0.148974  0.048193  0.042010  0.066935     0.333333  0.739130  0.000000  1.000000       0.50
78   0.203014  0.166667  0.159137  0.128913  0.049287     0.333333  0.695652  0.000000  1.000000       0.50
79   0.202177  0.177282  0.203313  0.199341  0.038369     0.333333  0.652174  0.000000  1.000000       0.50
